District,Month,Visitors
Adilabad,January,25071
Adilabad,February,406177
Adilabad,March,14347
Adilabad,April,9972
Adilabad,May,6997
Adilabad,June,9161
Adilabad,July,11791
Adilabad,August,108173
Adilabad,September,37589
Adilabad,October,38184
Adilabad,November,70344
Adilabad,December,38089
Bhadradri Kothagudem ,January,283365
Bhadradri Kothagudem ,February,229159
Bhadradri Kothagudem ,March,225448
Bhadradri Kothagudem ,April,349585
Bhadradri Kothagudem ,May,275800
Bhadradri Kothagudem ,June,9761776
Bhadradri Kothagudem ,July,233338
Bhadradri Kothagudem ,August,271941
Bhadradri Kothagudem ,September,314199
Bhadradri Kothagudem ,October,287432
Bhadradri Kothagudem ,November,298366
Bhadradri Kothagudem ,December,287328
Hyderabad,January,1426500
Hyderabad,February,983147
Hyderabad,March,1009991
Hyderabad,April,1045933
Hyderabad,May,1305748
Hyderabad,June,1262995
Hyderabad,July,1094861
Hyderabad,August,1121380
Hyderabad,September,959930
Hyderabad,October,1240643
Hyderabad,November,1073665
Hyderabad,December,1277569
Jagtial ,January,211913
Jagtial ,February,215105
Jagtial ,March,194090
Jagtial ,April,447226
Jagtial ,May,500206
Jagtial ,June,235363
Jagtial ,July,157419
Jagtial ,August,151570
Jagtial ,September,157564
Jagtial ,October,165070
Jagtial ,November,277630
Jagtial ,December,372959
Jangaon ,January,28750
Jangaon ,February,28810
Jangaon ,March,27300
Jangaon ,April,26160
Jangaon ,May,26740
Jangaon ,June,25820
Jangaon ,July,24160
Jangaon ,August,27800
Jangaon ,September,28640
Jangaon ,October,27840
Jangaon ,November,28410
Jangaon ,December,28460
Jayashankar Bhoopalpally,January,197430
Jayashankar Bhoopalpally,February,33500
Jayashankar Bhoopalpally,March,37500
Jayashankar Bhoopalpally,April,38500
Jayashankar Bhoopalpally,May,30800
Jayashankar Bhoopalpally,June,40500
Jayashankar Bhoopalpally,July,45500
Jayashankar Bhoopalpally,August,45000
Jayashankar Bhoopalpally,September,50500
Jayashankar Bhoopalpally,October,46000
Jayashankar Bhoopalpally,November,51500
Jayashankar Bhoopalpally,December,45800
Jogulamba Gadwal ,January,146441
Jogulamba Gadwal ,February,481110
Jogulamba Gadwal ,March,155013
Jogulamba Gadwal ,April,82334
Jogulamba Gadwal ,May,154609
Jogulamba Gadwal ,June,155013
Jogulamba Gadwal ,July,114951
Jogulamba Gadwal ,August,123733
Jogulamba Gadwal ,September,131485
Jogulamba Gadwal ,October,152898
Jogulamba Gadwal ,November,128075
Jogulamba Gadwal ,December,182333
Kamareddy ,January,42
Kamareddy ,February,41
Kamareddy ,March,45
Kamareddy ,April,41
Kamareddy ,May,46
Kamareddy ,June,41
Kamareddy ,July,50
