District,Month,Visitors
Adilabad,January,5
Adilabad,February,0
Adilabad,March,0
Adilabad,April,0
Adilabad,May,0
Adilabad,June,3
Adilabad,July,0
Adilabad,August,0
Adilabad,September,3
Adilabad,October,0
Adilabad,November,0
Adilabad,December,0
Bhadradri Kothagudem ,January,0
Bhadradri Kothagudem ,February,0
Bhadradri Kothagudem ,March,0
Bhadradri Kothagudem ,April,0
Bhadradri Kothagudem ,May,0
Bhadradri Kothagudem ,June,0
Bhadradri Kothagudem ,July,0
Bhadradri Kothagudem ,August,0
Bhadradri Kothagudem ,September,0
Bhadradri Kothagudem ,October,0
Bhadradri Kothagudem ,November,0
Bhadradri Kothagudem ,December,0
Hyderabad,January,19286
Hyderabad,February,18097
Hyderabad,March,13875
Hyderabad,April,12996
Hyderabad,May,12983
Hyderabad,June,12486
Hyderabad,July,18144
Hyderabad,August,16985
Hyderabad,September,27856
Hyderabad,October,26368
Hyderabad,November,29170
Hyderabad,December,38933
Jagtial ,January,0
Jagtial ,February,0
Jagtial ,March,0
Jagtial ,April,0
Jagtial ,May,0
Jagtial ,June,0
Jagtial ,July,0
Jagtial ,August,0
Jagtial ,September,0
Jagtial ,October,0
Jagtial ,November,0
Jagtial ,December,0
Jangaon ,January,0
Jangaon ,February,0
Jangaon ,March,0
Jangaon ,April,0
Jangaon ,May,0
Jangaon ,June,0
Jangaon ,July,0
Jangaon ,August,0
Jangaon ,September,0
Jangaon ,October,0
Jangaon ,November,0
Jangaon ,December,0
Jayashankar Bhoopalpally,January,85
Jayashankar Bhoopalpally,February,38
Jayashankar Bhoopalpally,March,35
Jayashankar Bhoopalpally,April,36
Jayashankar Bhoopalpally,May,40
Jayashankar Bhoopalpally,June,35
Jayashankar Bhoopalpally,July,42
Jayashankar Bhoopalpally,August,45
Jayashankar Bhoopalpally,September,56
Jayashankar Bhoopalpally,October,55
Jayashankar Bhoopalpally,November,58
Jayashankar Bhoopalpally,December,57
Jogulamba Gadwal ,January,20
Jogulamba Gadwal ,February,16
Jogulamba Gadwal ,March,32
Jogulamba Gadwal ,April,29
Jogulamba Gadwal ,May,31
Jogulamba Gadwal ,June,32
Jogulamba Gadwal ,July,34
Jogulamba Gadwal ,August,25
Jogulamba Gadwal ,September,42
Jogulamba Gadwal ,October,13
Jogulamba Gadwal ,November,21
Jogulamba Gadwal ,December,10
