District,Month,Visitors
Adilabad,January,318799
Adilabad,February,83316
Adilabad,March,27508
Adilabad,April,13946
Adilabad,May,11752
Adilabad,June,26859
Adilabad,July,52386
Adilabad,August,34876
Adilabad,September,42699
Adilabad,October,41666
Adilabad,November,117322
Adilabad,December,54251
Bhadradri Kothagudem ,January,302315
Bhadradri Kothagudem ,February,251359
Bhadradri Kothagudem ,March,243943
Bhadradri Kothagudem ,April,667459
Bhadradri Kothagudem ,May,311626
Bhadradri Kothagudem ,June,351742
Bhadradri Kothagudem ,July,258114
Bhadradri Kothagudem ,August,316438
Bhadradri Kothagudem ,September,381784
Bhadradri Kothagudem ,October,334504
Bhadradri Kothagudem ,November,281515
Bhadradri Kothagudem ,December,393518
Hyderabad,January,1924695
Hyderabad,February,1886698
Hyderabad,March,1783903
Hyderabad,April,2366793
Hyderabad,May,2266793
Hyderabad,June,2007060
Hyderabad,July,1890870
Hyderabad,August,1976980
Hyderabad,September,2011280
Hyderabad,October,2202316
Hyderabad,November,1971438
Hyderabad,December,4871416
Jagtial ,January,174477
Jagtial ,February,159659
Jagtial ,March,323658
Jagtial ,April,330540
Jagtial ,May,468038
Jagtial ,June,418103
Jagtial ,July,247254
Jagtial ,August,386458
Jagtial ,September,143102
Jagtial ,October,248504
Jagtial ,November,348042
Jagtial ,December,393566
Jangaon ,January,12280
Jangaon ,February,12610
Jangaon ,March,8450
Jangaon ,April,9788
Jangaon ,May,12130
Jangaon ,June,13750
Jangaon ,July,16050
Jangaon ,August,15680
Jangaon ,September,15600
Jangaon ,October,16130
Jangaon ,November,16360
Jangaon ,December,16880
Jayashankar Bhoopalpally,January,96560
Jayashankar Bhoopalpally,February,96850
Jayashankar Bhoopalpally,March,81400
Jayashankar Bhoopalpally,April,90700
Jayashankar Bhoopalpally,May,91150
Jayashankar Bhoopalpally,June,93650
Jayashankar Bhoopalpally,July,94700
Jayashankar Bhoopalpally,August,118350
Jayashankar Bhoopalpally,September,112600
Jayashankar Bhoopalpally,October,115250
Jayashankar Bhoopalpally,November,116800
Jayashankar Bhoopalpally,December,723000
Jogulamba Gadwal ,January,214887
Jogulamba Gadwal ,February,481110
Jogulamba Gadwal ,March,155013
Jogulamba Gadwal ,April,131426
Jogulamba Gadwal ,May,131426
Jogulamba Gadwal ,June,160182
Jogulamba Gadwal ,July,160182
Jogulamba Gadwal ,August,131485
Jogulamba Gadwal ,September,123733
Jogulamba Gadwal ,October,152898
Jogulamba Gadwal ,November,188170
Jogulamba Gadwal ,December,214887
Kamareddy ,January,58
Kamareddy ,February,50
Kamareddy ,March,41
Kamareddy ,April,46
Kamareddy ,May,60
Kamareddy ,June,41
Kamareddy ,July,41
Kamareddy ,August,40
Kamareddy ,September,41
Kamareddy ,October,38
Kamareddy ,November,43
Kamareddy ,December,41
Karimnagar ,January,14425
Karimnagar ,February,10845
Karimnagar ,March,9625
Karimnagar ,April,8630
Karimnagar ,May,8890
Karimnagar ,June,10542
Karimnagar ,July,12350
Karimnagar ,August,10952
Karimnagar ,September,7576
Karimnagar ,October,8371
Karimnagar ,November,8705
Karimnagar ,December,13065
Khammam,January,132528
Khammam,February,115470
Khammam,March,101878
Khammam,April,135920
Khammam,May,138799
Khammam,June,138158
Khammam,July,105102
