District,Month,Visitors
Adilabad,January,2
Adilabad,February,0
Adilabad,March,2
Adilabad,April,0
Adilabad,May,0
Adilabad,June,0
Adilabad,July,4
Adilabad,August,2
Adilabad,September,0
Adilabad,October,0
Adilabad,November,0
Adilabad,December,0
Bhadradri Kothagudem ,January, 
Bhadradri Kothagudem ,February, 
Bhadradri Kothagudem ,March, 
Bhadradri Kothagudem ,April, 
Bhadradri Kothagudem ,May, 
Bhadradri Kothagudem ,June, 
Bhadradri Kothagudem ,July, 
Bhadradri Kothagudem ,August, 
Bhadradri Kothagudem ,September, 
Bhadradri Kothagudem ,October,0
Bhadradri Kothagudem ,November,0
Bhadradri Kothagudem ,December,0
Hyderabad,January,15865
Hyderabad,February,29646
Hyderabad,March,13019
Hyderabad,April,8402
Hyderabad,May,8522
Hyderabad,June,10284
Hyderabad,July,17142
Hyderabad,August,12842
Hyderabad,September,9397
Hyderabad,October,12808
Hyderabad,November,8084
Hyderabad,December,17620
Jagtial ,January, 
Jagtial ,February, 
Jagtial ,March, 
Jagtial ,April, 
Jagtial ,May, 
Jagtial ,June, 
Jagtial ,July, 
Jagtial ,August, 
Jagtial ,September, 
Jagtial ,October,0
Jagtial ,November,0
Jagtial ,December,0
Jangaon ,January, 
Jangaon ,February, 
Jangaon ,March, 
Jangaon ,April, 
Jangaon ,May, 
Jangaon ,June, 
Jangaon ,July, 
Jangaon ,August, 
Jangaon ,September, 
Jangaon ,October,0
Jangaon ,November,2
Jangaon ,December,0
Jayashankar Bhoopalpally,January, 
Jayashankar Bhoopalpally,February, 
Jayashankar Bhoopalpally,March, 
Jayashankar Bhoopalpally,April, 
Jayashankar Bhoopalpally,May, 
Jayashankar Bhoopalpally,June, 
Jayashankar Bhoopalpally,July, 
Jayashankar Bhoopalpally,August, 
Jayashankar Bhoopalpally,September, 
Jayashankar Bhoopalpally,October,24
Jayashankar Bhoopalpally,November,22
Jayashankar Bhoopalpally,December,40
Jogulamba Gadwal ,January, 
Jogulamba Gadwal ,February, 
Jogulamba Gadwal ,March, 
Jogulamba Gadwal ,April, 
Jogulamba Gadwal ,May, 
Jogulamba Gadwal ,June, 
Jogulamba Gadwal ,July, 
Jogulamba Gadwal ,August, 
Jogulamba Gadwal ,September, 
Jogulamba Gadwal ,October,13
Jogulamba Gadwal ,November,21
Jogulamba Gadwal ,December,11
Kamareddy ,January, 
Kamareddy ,February, 
Kamareddy ,March, 
Kamareddy ,April, 
Kamareddy ,May, 
Kamareddy ,June, 
Kamareddy ,July, 
Kamareddy ,August, 
Kamareddy ,September, 
Kamareddy ,October,0
Kamareddy ,November,0
Kamareddy ,December,0
Karimnagar ,January,0
Karimnagar ,February,0
Karimnagar ,March,0
Karimnagar ,April,0
Karimnagar ,May,0
Karimnagar ,June,0
Karimnagar ,July,0
Karimnagar ,August,0
Karimnagar ,September,0
Karimnagar ,October,0
Karimnagar ,November,0
Karimnagar ,December,0
Khammam,January,0
Khammam,February,0
Khammam,March,0
Khammam,April,0
Khammam,May,0
Khammam,June,0
Khammam,July,0
Khammam,August,0
Khammam,September,0
Khammam,October,0
Khammam,November,0
Khammam,December,0
Komaram Bheem Asifabad,January, 
Komaram Bheem Asifabad,February, 
Komaram Bheem Asifabad,March, 
Komaram Bheem Asifabad,April, 
Komaram Bheem Asifabad,May, 
Komaram Bheem Asifabad,June, 
Komaram Bheem Asifabad,July, 
Komaram Bheem Asifabad,August, 
Komaram Bheem Asifabad,September, 
Komaram Bheem Asifabad,October,0
Komaram Bheem Asifabad,November,0
Komaram Bheem Asifabad,December,0
Mahabubabad ,January, 
Mahabubabad ,February, 
Mahabubabad ,March, 
Mahabubabad ,April, 
Mahabubabad ,May, 
Mahabubabad ,June, 
Mahabubabad ,July, 
Mahabubabad ,August, 
Mahabubabad ,September, 
Mahabubabad ,October,0
Mahabubabad ,November,0
Mahabubabad ,December,0
Mahbubnagar,January,123
Mahbubnagar,February,126
Mahbubnagar,March,103
Mahbubnagar,April,75
Mahbubnagar,May,58
Mahbubnagar,June,68
