dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,diff,total,avg_per
21_5,01-04-2020,2,0,0,0,0,0,#DIV/0!
19_4,01-04-2020,1,0,0,0,0,0,#DIV/0!
20_4,01-10-2020,0,0,0,0,0,0,#DIV/0!
14_3,01-10-2020,0,0,0,0,0,0,#DIV/0!
21_5,01-10-2020,0,0,0,0,0,0,#DIV/0!
21_3,01-10-2020,0,0,0,0,0,0,#DIV/0!
17_1,01-10-2020,0,0,0,0,0,0,#DIV/0!
21_6,01-10-2020,0,0,0,0,0,0,#DIV/0!
14_5,01-10-2020,0,0,0,0,0,0,#DIV/0!
19_4,01-10-2020,0,0,0,0,0,0,#DIV/0!
19_2,01-10-2020,0,0,0,0,0,0,#DIV/0!
21_5,01-11-2020,0,0,0,0,0,0,#DIV/0!
21_2,01-11-2020,0,0,0,0,0,0,#DIV/0!
14_3,01-11-2020,0,0,0,0,0,0,#DIV/0!
19_2,01-11-2020,0,0,0,0,0,0,#DIV/0!
14_4,01-11-2020,0,0,0,0,0,0,#DIV/0!
21_6,01-11-2020,0,0,0,0,0,0,#DIV/0!
14_5,01-11-2020,0,0,0,0,0,0,#DIV/0!
23_3,01-11-2020,0,0,0,0,0,0,#DIV/0!
23_1,01-11-2020,0,0,0,0,0,0,#DIV/0!
19_4,01-11-2020,0,0,0,0,0,0,#DIV/0!
17_1,01-11-2020,0,0,0,0,0,0,#DIV/0!
21_3,01-11-2020,0,0,0,0,0,0,#DIV/0!
17_1,01-11-2021,827,26198223,883,68482520,42284297,94680743,72%
14_5,01-12-2022,957,21817533,951,54941667,33124134,76759200,72%
14_5,01-06-2021,773,9847223,807,20747984,10900761,30595207,68%
14_5,01-04-2021,921,10540870,936,20859035,10318165,31399905,66%
17_1,01-07-2021,938,26412445,1009,48418709,22006264,74831154,65%
17_1,01-01-2022,945,33058649,1230,58770482,25711833,91829131,64%
15_3,01-11-2022,1235,43951677,1284,77098216,33146539,121049893,64%
19_3,01-06-2021,749,13915625,1110,23605893,9690268,37521518,63%
15_3,01-08-2021,1334,34284292,1898,55454411,21170119,89738703,62%
21_3,01-12-2020,334,7872988,365,12288108,4415120,20161096,61%
21_5,01-06-2021,693,11010800,912,15853933,4843133,26864733,59%
21_6,01-02-2022,685,7616197,724,10465247,2849050,18081444,58%
14_1,01-06-2021,2509,59654363,2583,81201988,21547625,140856351,58%
19_2,01-02-2022,1345,28738636,1553,38670276,9931640,67408912,57%
21_5,01-12-2020,229,5350370,290,7193178,1842808,12543548,57%
21_3,01-03-2023,1652,34544933,1808,45606428,11061495,80151361,57%
21_3,01-01-2022,1396,34236444,1753,44214497,9978053,78450941,56%
19_1,01-03-2021,1517,24666605,1550,31751084,7084479,56417689,56%
17_3,01-01-2022,3888,82190825,4578,105300788,23109963,187491613,56%
23_3,01-01-2023,4676,155087383,5032,197930372,42842989,353017755,56%
17_1,01-12-2022,1371,49030012,1322,62478201,13448189,111508213,56%
23_1,01-01-2022,4902,121215791,5928,153618985,32403194,274834776,56%
18_2,01-12-2022,1515,40896341,1705,51494193,10597852,92390534,56%
20_2,01-12-2020,344,7789379,416,9773232,1983853,17562611,56%
21_1,01-12-2020,1775,101218608,2174,126286106,25067498,227504714,56%
14_4,01-02-2023,1778,37497938,1776,46746999,9249061,84244937,55%
19_1,01-12-2020,371,12503383,463,15525053,3021670,28028436,55%
19_1,01-01-2022,912,34039364,1106,42235839,8196475,76275203,55%
19_2,01-01-2023,962,21171939,1235,26203997,5032058,47375936,55%
15_2,01-01-2022,15706,2169471006,17268,2665104212,495633206,4834575218,55%
17_3,01-01-2023,3640,68253540,3406,83385619,15132079,151639159,55%
14_3,01-11-2021,2210,31996967,2193,38927199,6930232,70924166,55%
23_2,01-06-2021,2777,45943674,3339,55359358,9415684,101303032,55%
21_2,01-01-2023,765,17404420,864,20959433,3555013,38363853,55%
14_5,01-12-2020,202,1718829,233,2066770,347941,3785599,55%
22_2,01-02-2022,956,22684755,1040,27266010,4581255,49950765,55%
22_2,01-03-2023,1255,18695648,1566,22453502,3757854,41149150,55%
22_2,01-01-2021,803,19858466,1024,23814628,3956162,43673094,55%
18_1,01-12-2020,1463,43642023,1727,52091325,8449302,95733348,54%
21_5,01-06-2022,1746,42562067,2204,50757934,8195867,93320001,54%
19_4,01-05-2022,185,5937385,196,7071065,1133680,13008450,54%
19_2,01-12-2022,1095,24121734,1069,28643040,4521306,52764774,54%
19_1,01-03-2022,1155,37626696,1317,44640572,7013876,82267268,54%
23_3,01-03-2022,6540,220235465,6841,260377026,40141561,480612491,54%
19_2,01-03-2021,1561,21560244,1825,25447309,3887065,47007553,54%
19_3,01-10-2021,944,31341444,1084,36975415,5633971,68316859,54%
18_2,01-01-2022,1915,40479027,2233,47730961,7251934,88209988,54%
17_2,01-12-2020,2877,214132651,3354,251767884,37635233,465900535,54%
17_2,01-06-2021,5522,365428582,5912,429095813,63667231,794524395,54%
23_2,01-04-2022,2817,83175309,2888,97563368,14388059,180738677,54%
21_5,01-01-2021,1477,27949112,1898,32364121,4415009,60313233,54%
15_1,01-12-2020,11189,1792042623,13168,2074270805,282228182,3866313428,54%
23_2,01-12-2020,1154,33456008,1355,38571467,5115459,72027475,54%
21_5,01-01-2022,1397,34297858,1837,39541151,5243293,73839009,54%
18_1,01-01-2022,4977,140585453,5888,161862023,21276570,302447476,54%
20_1,01-12-2020,955,39536355,1082,45437871,5901516,84974226,53%
20_4,01-06-2021,1274,33853944,1480,38808666,4954722,72662610,53%
14_5,01-01-2022,1059,22639595,1166,25929441,3289846,48569036,53%
17_3,01-04-2021,3943,55329837,4448,63340986,8011149,118670823,53%
18_2,01-11-2022,1441,36229953,1648,41366626,5136673,77596579,53%
23_2,01-01-2022,3327,93400275,3828,106625284,13225009,200025559,53%
17_2,01-04-2021,5598,334373836,5929,381192543,46818707,715566379,53%
22_2,01-12-2020,270,11532231,329,13133485,1601254,24665716,53%
17_2,01-07-2022,5406,541290005,6097,615808901,74518896,1157098906,53%
21_1,01-01-2022,4562,232096344,5460,264045590,31949246,496141934,53%
20_1,01-02-2022,2333,86873097,2596,98810495,11937398,185683592,53%
21_1,01-01-2023,3218,171784887,3851,195178409,23393522,366963296,53%
21_2,01-12-2020,292,6098924,280,6923601,824677,13022525,53%
21_2,01-10-2022,657,16078936,674,18223073,2144137,34302009,53%
17_2,01-07-2021,6496,590248802,7688,668815328,78566526,1259064130,53%
21_5,01-11-2021,620,16547173,754,18720698,2173525,35267871,53%
16_1,01-06-2021,4210,674274892,4776,762319760,88044868,1436594652,53%
22_2,01-11-2021,998,24688113,961,27893170,3205057,52581283,53%
21_6,01-08-2021,481,12810142,595,14457244,1647102,27267386,53%
22_1,01-01-2022,4395,194046973,5230,218422134,24375161,412469107,53%
21_6,01-10-2022,566,12575975,629,14154359,1578384,26730334,53%
15_3,01-01-2022,1896,50425061,2092,56742389,6317328,107167450,53%
18_2,01-09-2022,1378,35841685,1509,40324546,4482861,76166231,53%
18_2,01-06-2021,1940,26525454,2169,29840275,3314821,56365729,53%
18_2,01-03-2023,1637,34354361,1809,38612291,4257930,72966652,53%
22_1,01-04-2022,4093,205300353,4323,230412276,25111923,435712629,53%
20_3,01-01-2022,1970,42329849,2241,47503534,5173685,89833383,53%
17_1,01-02-2021,1235,19185834,1434,21496709,2310875,40682543,53%
15_2,01-12-2020,10145,1166982096,11757,1307431183,140449087,2474413279,53%
22_2,01-06-2021,514,14130043,647,15830461,1700418,29960504,53%
21_3,01-06-2021,920,16105494,1033,18038464,1932970,34143958,53%
17_2,01-02-2023,5803,660210895,6101,737968006,77757111,1398178901,53%
22_2,01-10-2021,724,22282163,892,24861508,2579345,47143671,53%
19_1,01-11-2021,1038,27833366,1123,31049706,3216340,58883072,53%
21_2,01-01-2021,950,18594943,1009,20731077,2136134,39326020,53%
19_4,01-12-2020,43,1039265,43,1157235,117970,2196500,53%
17_1,01-10-2021,811,26544033,859,29513478,2969445,56057511,53%
17_2,01-02-2021,6945,444599080,7185,493804570,49205490,938403650,53%
19_3,01-03-2023,2467,48958866,2633,54313485,5354619,103272351,53%
21_2,01-03-2021,1076,16698092,1123,18517366,1819274,35215458,53%
21_1,01-05-2021,635,16859754,576,18688358,1828604,35548112,53%
17_3,01-12-2020,986,27752706,947,30725742,2973036,58478448,53%
20_2,01-01-2022,2003,66055855,2282,73044624,6988769,139100479,53%
23_3,01-06-2021,4484,62799321,4877,69270361,6471040,132069682,52%
18_1,01-06-2021,4124,74337430,5103,81996371,7658941,156333801,52%
20_4,01-05-2022,1177,55319046,1203,61010707,5691661,116329753,52%
23_3,01-01-2021,7142,114656785,7388,126420264,11763479,241077049,52%
20_3,01-05-2021,142,1487250,153,1638261,151011,3125511,52%
15_3,01-06-2021,1140,19334338,1188,21226533,1892195,40560871,52%
19_1,01-08-2021,847,25608861,1014,28090487,2481626,53699348,52%
14_3,01-01-2022,2877,50275984,3197,55146270,4870286,105422254,52%
14_5,01-08-2022,654,13711592,690,15014978,1303386,28726570,52%
14_3,01-04-2022,2308,44535076,2406,48755603,4220527,93290679,52%
23_3,01-05-2022,5752,180066950,6061,197003851,16936901,377070801,52%
23_1,01-07-2021,6327,135986699,6743,148708243,12721544,284694942,52%
19_4,01-06-2021,159,2423000,173,2646000,223000,5069000,52%
14_1,01-01-2022,3788,118531201,3941,129427844,10896643,247959045,52%
19_2,01-07-2022,980,24530135,999,26783971,2253836,51314106,52%
20_1,01-06-2021,2758,66862041,3051,72910750,6048709,139772791,52%
22_1,01-06-2021,4310,115630066,4964,125990133,10360067,241620199,52%
17_2,01-01-2022,6788,686612911,7613,747976314,61363403,1434589225,52%
23_1,01-12-2020,1741,41179158,2087,44821744,3642586,86000902,52%
14_3,01-04-2021,2361,23353518,2493,25409508,2055990,48763026,52%
20_3,01-08-2022,1355,31110454,1412,33796619,2686165,64907073,52%
15_2,01-03-2022,15593,2109865837,16786,2291262222,181396385,4401128059,52%
17_1,01-04-2021,898,18397464,917,19978664,1581200,38376128,52%
14_5,01-02-2023,887,21092647,932,22899250,1806603,43991897,52%
17_2,01-11-2022,5720,703769297,6255,763951173,60181876,1467720470,52%
21_3,01-12-2022,1820,43961291,1814,47717327,3756036,91678618,52%
19_2,01-06-2021,1115,14269120,1194,15483510,1214390,29752630,52%
19_4,01-10-2022,148,4569240,160,4955225,385985,9524465,52%
19_3,01-02-2021,2476,44942116,2796,48731429,3789313,93673545,52%
15_2,01-05-2021,2885,252478745,3101,273491208,21012463,525969953,52%
21_6,01-11-2022,824,19290678,866,20889937,1599259,40180615,52%
19_4,01-12-2022,210,7326433,212,7931923,605490,15258356,52%
19_3,01-12-2020,503,15595943,582,16868604,1272661,32464547,52%
19_4,01-02-2022,176,4595920,194,4968575,372655,9564495,52%
